a	một cái, một con 
endurance	sức chịu đựng
endure	chịu đựng
enduring	bền bỉ
end-user	người dùng cuối
enemy	kẻ thù
energetic	năng lượng
energetically	hăng hái
energize	tiếp thêm sinh lực
energy	năng lượng
energy-efficiency	hiệu suất năng lượng
energy-efficient	tiết kiệm năng lượng
energy-intensive	nhiều năng lượng
enforce	thi hành
enforceable	có hiệu lực
enforced	thi hành
enforcement	thực thi
enforcer	người thi hành
engage	đính hôn
engaged	đính hôn
engagement	hôn ước
engaging	hấp dẫn
engender	gây ra
engine	động cơ
engineer	kỹ sư
engineered	chế tạo
engineering	kỹ thuật
English	tiếng Anh
English-language	Ngôn ngữ tiếng anh
English-speaking	Nói tiếng Anh
engrave	khắc
engraved	khắc
engraving	tranh điêu khắc
engulf	nhận chìm
enhance	nâng cao
enhanced	nâng cao
enhancement	sự nâng cao
enigma	bí ẩn
enigmatic	bí ẩn
enjoin	ra lệnh
enjoy	vui thích
enjoyable	thú vị
enjoyment	sự hưởng thụ
enlarge	phóng to
enlarged	phóng to
enlargement	mở rộng
enlighten	khai sáng
enlightened	giác ngộ
enlightenment	giác ngộ
enlist	nhập ngũ
enlistment	nhập ngũ
enliven	sống động
enmesh	enmesh
enmity	thù hận
enormity	sự to lớn
enormous	lớn lao
enormously	to lớn
enough	đầy đủ
enquiry	cuộc điều tra
enrage	Tức giận
enrich	làm giàu
enriched	làm giàu
enriching	làm giàu
enrichment	làm giàu
enroll	đăng ký
enrollee	người ghi danh
enrollment	ghi danh
ensconced	kết hợp với nhau
ensemble	tập hợp
enshrine	phòng thờ
enslave	làm nô lệ
enslavement	sự nô dịch
ensue	tiếp theo
ensuing	tiếp theo
ensure	chắc chắn
entail	kéo theo
entangle	vướng víu
entangled	vướng víu
entanglement	vướng víu
enter	đi vào
enteric	ruột
enterprise	xí nghiệp
enterprising	dám nghĩ dám làm
entertain	sự giải trí
entertainer	người giải trí
entertaining	giải trí
entertainment	giải trí
enthrall	say mê
enthusiasm	hăng hái
enthusiast	người say mê
enthusiastic	nhiệt tâm
enthusiastically	nhiệt tình
entice	dụ dỗ
enticing	dụ dỗ
entire	toàn bộ
entirely	toàn bộ
entirety	toàn bộ
entitle	cho phép
entitlement	quyền lợi
entity	thực thể
entomologist	nhà côn trùng học
entomology	côn trùng học
entourage	tùy tùng
entrance	cổng vào
entrant	gia nhập
entrap	dây dưa
entrapment	Cái bẫy
entree	đồng ý
entrench	cố thủ
entrenched	cố thủ
entrepreneur	doanh nhân
entrepreneurial	kinh doanh
entrepreneurship	tinh thần kinh doanh
entropy	Sự hỗn loạn
entrust	giao phó
entry	lối vào
entry-level	cấp độ đầu vào
entwine	quấn vào nhau
enumerate	liệt kê
enumeration	sự liệt kê
enunciate	phát biểu
envelop	phong bì
envelope	phong bì
enviable	đáng ghen tị
envious	ghen tị
environment	môi trường
environmental	thuộc về môi trường
environmentalism	chủ nghĩa môi trường
environmentalist	Nhà môi trường học
environmentally	môi trường
environs	environs
envisage	hình dung
envision	hình dung
envoy	phái viên
envy	ghen tỵ
enzyme	men
eon	eon
eosinophil	bạch cầu ái toan
ephemeral	không lâu
epic	sử thi
epidemic	bệnh dịch
epidemiologic	dịch tễ học
epidemiological	dịch tễ học
epidemiologist	nhà dịch tễ học
epidemiology	dịch tễ học
epidermis	biểu bì
epigraph	epigraph
epilepsy	động kinh
epilogue	phần kết
epiphany	hiển linh
Episcopal	Episcopal
episode	tập phim
episodic	nhiều tập
epistaxis	Chảy máu cam
epistemic	nhận thức luận
epistemological	nhận thức luận
epistemology	tri thức luận
epistle	thư tín
epithelial	biểu mô
epithelium	biểu mô
epithet	biểu tượng
epitome	mẫu mực
epitomize	biểu tượng hóa
epoch	kỷ nguyên
epoxy	sơn epoxy
epsilon	epsilon
equal	bình đẳng
equality	bình đẳng
equalization	sự cân bằng
equalize	cân bằng
equally	ngang nhau
equate	đánh đồng
equation	phương trình
equator	Đường xích đạo
equatorial	xích đạo
equestrian	người cưỡi ngựa
equilibrium	trạng thái cân bằng
equinox	phân
equip	trang bị
equipment	Trang thiết bị
equitable	công bằng
equitably	công bằng
equity	công bằng
equivalence	tương đương
equivalency	tương đương
equivalent	tương đương
equivocal	không phân minh
era	kỷ nguyên
eradicate	diệt trừ
eradication	diệt trừ
erase	tẩy xóa
erasure	tẩy xóa
erect	dựng lên
erectile	cương dương
erection	cương cứng
ergonomic	công thái học
Eritrean	Eritrean
erode	xói mòn
eroded	bị xói mòn
eroding	xói mòn
erosion	xói mòn
erotic	khiêu dâm
eroticism	sự khêu gợi
err	sai lầm
errand	việc vặt
errant	lang thang
erratic	thất thường
erroneous	sai
erroneously	sai lầm
error	lỗi
ersatz	ersatz
erstwhile	trước tiên
erupt	phun trao
eruption	phun trào
erythema	ban đỏ
escalate	leo thang
escalating	leo thang
escalation	sự leo thang
escape	thoát khỏi
escaping	trốn thoát
eschatological	cánh chung
eschatology	tiên thể học
eschew	trốn tránh
escort	hộ tống
Eskimo	Eskimo
esophageal	thực quản
esophagus	thực quản
esoteric	bí truyền
especially	đặc biệt
espionage	gián điệp
espouse	theo
essay	bài văn
essayist	người viết luận
essence	Bản chất
essential	thiết yếu
essentialism	chủ nghĩa bản chất
essentially	bản chất
establish	củng cố
established	thành lập
establishment	thành lập
estate	tài sản
esteem	kính trọng
esthetic	thẩm mỹ
estimate	ước tính
estimated	ước lượng
estimation	ước lượng
estimator	người ước lượng
Estonian	Người Estonia
estranged	ghẻ lạnh
estrangement	ghẻ lạnh
estrogen	oestrogen
estuarine	cửa sông
estuary	cửa sông
eta	eta
etc	Vân vân
etch	khắc
etching	khắc
eternal	Vĩnh hằng
eternally	luôn luôn
eternity	vĩnh cửu
ethanol	etanol
ether	ête
ethereal	thanh tao
ethernet	ethernet
ethic	đạo đức
ethical	có đạo đức
ethically	về mặt đạo đức
ethicist	nhà đạo đức học
ethics	đạo đức học
Ethiopian	Người Ethiopia
ethmoid	ethmoid
ethnic	dân tộc
ethnically	dân tộc
ethnicity	dân tộc
ethnocentric	dân tộc thiểu số
ethnocentrism	chủ nghĩa dân tộc
ethnographer	nhà dân tộc học
ethnographic	dân tộc học
ethnography	dân tộc học
ethnology	dân tộc học
ethos	đặc tính
etiological	căn nguyên
etiology	căn nguyên
etiquette	phép lịch sự
etude	etude
etymological	từ nguyên
etymology	từ nguyên học
Eucharist	Bí tích thánh thể
eucharistic	thánh thể
eugenics	thuyết ưu sinh
eulogy	điếu văn
euphemism	uyển ngữ
euphoria	niềm hạnh phúc
Eurasian	Âu Á
eureka	eureka
euro	euro
Euro-American	Âu Mỹ
Eurocentric	Châu Âu
European	Châu âu
euthanasia	an tử
eutrophication	sự phú dưỡng
evacuate	sơ tán
evacuation	sơ tán
evade	trốn tránh
evaluate	Thúc giục
evaluation	đánh giá
evaluative	đánh giá
evaluator	người đánh giá
evangelical	truyền giáo
evangelicalism	truyền giáo
evangelism	truyền giáo
evangelist	nhà truyền giáo
evangelization	truyền giáo
evangelize	truyền giáo
evaporate	bốc hơi
evaporation	bay hơi
evasion	trốn tránh
evasive	lảng tránh
eve	đêm
even	thậm chí
evening	buổi tối
evenly	như nhau
event	Sự kiện
eventual	cuối cùng
eventually	sau cùng
ever	bao giờ
ever-changing	luôn thay đổi
ever-expanding	ngày càng mở rộng
evergreen	thường xanh
ever-growing	ngày càng phát triển
ever-increasing	ngày càng tăng
everlasting	bất diệt
ever-present	mãi mãi
every	mỗi
everybody	mọi người
everyday	Hằng ngày
everyone	tất cả mọi người
everything	mọi điều
everywhere	mọi nơi
evict	đuổi đi
eviction	trục xuất
evidence	bằng chứng
evidence-based	dựa trên bằng chứng
evident	hiển nhiên
evidently	hiển nhiên
evil	tà ác
evince	thuyết minh
evocation	sự khơi gợi
evocative	gợi lên
evoke	gợi lên
evolution	sự phát triển
evolutionary	tiến hóa
evolutionist	nhà tiến hóa
evolve	tiến hóa
evolved	phát triển
evolving	đang phát triển
ewe	cừu cái
ex	Ví dụ
exacerbate	làm trầm trọng thêm
exacerbation	cơn trầm trọng
exact	chính xác
exacting	chính xác
exactly	chính xác
exaggerate	nói quá
exaggerated	phóng đại
exaggeration	phóng đại
exalt	nâng cao
exaltation	sự tôn vinh
exalted	đề cao
exam	thi
examination	kiểm tra
examine	nghiên cứu
examined	kiểm tra
examiner	giám định viên
example	thí dụ
excavate	khai quật
excavated	khai quật
excavation	moi lên
excavator	máy xúc
exceed	quá
exceedingly	cực kỳ
excel	vượt trội
excellence	xuất sắc
excellent	thông minh
except	ngoại trừ
exception	ngoại lệ
exceptional	đặc biệt
exceptionally	đặc biệt
excerpt	đoạn trích
excess	thặng dư
excessive	quá đáng
excessively	quá mức
exchange	trao đổi
exchanger	người trao đổi
excise	tiêu thụ đặc biệt
excision	sự cắt bỏ
excitation	sự kích động
excite	kích thích
excited	bị kích thích
excitement	phấn khích
exciting	thú vị
exciton	exciton
exclaim	kêu lên
exclamation	cảm thán
exclude	loại trừ
excluded	loại trừ
excluding	loại trừ
exclusion	loại trừ
exclusionary	loại trừ
exclusive	loại trừ
exclusively	duy nhất
exclusivity	độc quyền
excommunicate	làm vạ tuyệt thông
excommunication	vạ tuyệt thông
excrete	bài tiết
excretion	bài tiết
excruciating	làm kiệt quệ
excursion	đi chơi, dã ngoại
excuse	thứ lỗi
exec	người điều hành
execute	hành hình
execution	chấp hành
executioner	đao phủ
executive	chấp hành, quản lý
exegesis	chú giải
exegetical	chú giải
exemplar	gương mẫu
exemplary	gương mẫu
exemplify	nêu gương, lam mâu mực
exempt	miễn
exemption	sự miễn trừ
exercise	bài tập
exerciser	người tập thể dục
exert	gắng sức
exertion	gắng sức
exhaust	khí thải
exhausted	kiệt sức
exhausting	mệt mỏi
exhaustion	kiệt sức
exhaustive	đầy đủ
exhibit	triển lãm
exhibition	triển lãm
exhibitor	nhà triển lãm
exhilarating	phấn khởi
exhort	khuyên nhủ
exhortation	khuyến khích
exigency	sự khó tính
exile	đày ải
exiled	đày ải
exist	hiện hữu
existence	sự tồn tại
existent	tồn tại
existential	tồn tại
existing	hiện có
exit	lối ra
exodus	cuộc di cư
exogenous	ngoại sinh
exonerate	tha
exoplanet	ngoại hành tinh
exorbitant	quá đáng
exotic	kỳ lạ
expand	mở rộng
expanded	mở rộng
expanding	mở rộng
expanse	mở rộng
expansion	sự bành trướng
expansionist	người theo chủ nghĩa bành trướng
expansive	mở rộng
expatriate	người xa xứ
expect	chờ đợi
expectancy	tuổi thọ
expectation	sự mong đợi
expected	kỳ vọng
expediency	sự hiệu quả
expedient	láu cá
expedite	giục
expedition	cuộc thám hiểm
expeditionary	viễn chinh
expel	trục xuất
expend	tiêu xài
expendable	tiêu xài được
expenditure	chi phí
expense	chi phí
expensive	đắt tiền
experience	kinh nghiệm
experienced	có kinh nghiệm
experiential	dựa theo kinh nghiệm
experiment	thí nghiệm
experimental	thực nghiệm
experimentally	thực nghiệm
experimentation	thử nghiệm
experimenter	người làm thí nghiệm
expert	thạo
expertise	chuyên môn
expiration	hết hạn
expire	hết hạn
explain	giải thích
explained	giải thích
explanation	giải trình
explanatory	giải thích
explicate	giải thích
explication	sự giải thích
explicit	rõ ràng
explicitly	rõ ràng
explode	nổ tung
exploit	khai thác
exploitation	khai thác
exploitative	bóc lột
exploited	khai thác
exploration	thăm dò
exploratory	thám hiểm
explore	khám phá
explorer	nhà thám hiểm
explosion	nổ
explosive	nổ
explosives	thuốc nổ
exponent	số mũ
exponential	số mũ
exponentially	theo hàm mũ
export	xuất khẩu
exporter	người xuất khẩu
exporting	xuất khẩu
export-oriented	định hướng xuất khẩu
expose	phơi ra
exposed	Để lộ ra
exposition	sự giải bày
expository	kho lưu trữ
exposure	Phơi bày
expound	giải thích
express	thể hiện
expressed	bày tỏ
expression	biểu hiện
expressionism	chủ nghĩa biểu hiện
expressionist	người theo chủ nghĩa biểu hiện
expressive	biểu cảm
expressiveness	biểu cảm
expressly	rõ ràng
expropriate	thích hợp
expropriation	sự chiếm đoạt
expulsion	trục xuất
exquisite	tinh tế
exquisitely	tinh xảo
extant	còn tồn tại
extend	mở rộng
extended	mở rộng
extension	gia hạn
extensive	rộng rãi
extensively	một cách chuyên sâu
extensor	người kéo dài
extent	mức độ
exterior	ngoại thất
exterminate	tiêu diệt
extermination	tiêu diệt
external	bên ngoài
externality	ngoại cảnh
externalize	ngoại hóa
externalizing	ngoại hóa
externally	bên ngoài
extinct	tuyệt chủng
extinction	nguy cơ tuyệt chủng
extinguish	dập tắt
extol	extol
extortion	tống tiền
extra	phụ
extract	trích xuất
extraction	khai thác
extractive	khai thác
extracurricular	ngoại khóa
extramarital	ngoại hôn
extraneous	không liên quan
extraordinarily	bất thường
extraordinary	đặc biệt
extrapolate	ngoại suy
extrapolation	phép ngoại suy
extrasolar	ngoại cực
extraterrestrial	người ngoài trái đất
extraterritorial	ngoài lãnh thổ
extravagance	xa hoa
extravagant	xa hoa
extraversion	sự ngoại đạo
extreme	cực
extremely	cực kì
extremism	chủ nghĩa cực đoan
extremist	cực đoan
extremity	cực đoan
extricate	giải phóng
extrinsic	bên ngoài
extrusion	phun ra
exuberance	hoa mỹ
exuberant	hoa mỹ
exude	toát ra
eye	con mắt
eyeball	nhãn cầu
eyebrow	lông mày
eyeglass	kính đeo mắt
eyelid	mí mắt
eyepiece	thị kính
eyesight	thị lực
eyewitness	nhân chứng
fable	truyện ngụ ngôn
fabled	huyền thoại
fabric	sợi vải
fabricate	chế tạo
fabrication	sự bịa đặt
fabulous	tuyệt vời
facade	mặt tiền
face	đối mặt
facet	khía cạnh
face-to-face	mặt đối mặt
facial	khuôn mặt
facile	sự dễ dãi
facilitate	tạo điều kiện
facilitation	sự tạo điều kiện
facilitative	tạo điều kiện
facilitator	người điều hành
facility	cơ sở
facing	đối mặt
facsimile	mô phỏng
fact	sự thật
faction	phe phái
factional	phe phái
factionalism	chủ nghĩa bè phái
factor	hệ số
factorial	yếu tố
factory	xưởng sản xuất
factual	thực tế
faculty	khoa
fad	ham mê
fade	phai màu
faded	đã bị mờ
fail	Thất bại
failed	thất bại
failing	thất bại
failure	thất bại
faint	mờ nhạt
faintly	mờ nhạt
fair	công bằng
fairly	công bằng
fairness	công bằng
fairy	nàng tiên
faith	sự tin tưởng
faith-based	dựa trên niềm tin
faithful	Trung thành
faithfully	trung thành
faithfulness	trung thành
fake	giả mạo
falcon	chim ưng
fall	ngã
fallacy	lối ngụy biện
fallen	rơi
falling	rơi
fallout	ngã ra ngoài
fallow	bỏ hoang
falsehood	sự giả dối
falsely	giả dối
falsify	làm giả
falsity	giả dối
falter	chùn bước
fame	danh tiếng
famed	danh tiếng
familial	gia đình
familiar	thân thuộc
familiarity	sự quen thuộc
familiarize	làm quen
family	gia đình
family-centered	lấy gia đình làm trung tâm
famine	nạn đói
